transaction_id,supplier_id,transaction_date,contract_value_usd,currency,category,subcategory,department,contract_duration_months,tender_type,local_content_percentage,payment_terms,contract_start_date,contract_end_date,po_number,delivery_location,project_code,budget_code,approval_level,contract_status
TXN001166,SUP0321,2019-09-14,348602.57,USD,Medical Services,Consulting Services,Maintenance,12,Restricted Tender,58.8,Net 90,2019-09-14,2020-09-08,PO943584,Accra Office,PRJ6194,BUD379,SVP,Completed
TXN001167,SUP0498,2010-07-22,106140.92,USD,Equipment Parts,Transportation & Logistics,Community Relations,1,Open Tender,97.8,Upon Delivery,2010-07-22,2010-08-21,PO345147,Subika,PRJ2243,BUD467,Manager,Completed
TXN001168,SUP0101,2016-08-09,10419.99,USD,Equipment Parts,Supplies & Materials,Mining Operations,3,Direct Award,98.6,Net 30,2016-08-09,2016-11-07,PO924047,Subika,PRJ4731,BUD200,Manager,Completed
TXN001169,SUP0176,2011-08-08,129399.85,USD,Security Services,Civil Works,Maintenance,6,Open Tender,86.1,Net 30,2011-08-08,2012-02-04,PO672549,Ahafo North,PRJ6468,BUD301,VP,Completed
TXN001170,SUP0058,2015-08-11,127302.52,USD,Catering Services,Construction Services,Community Relations,6,Open Tender,75.3,Net 90,2015-08-11,2016-02-07,PO299903,Ahafo North,PRJ9898,BUD367,Manager,Completed
TXN001171,SUP0048,2016-09-19,389064.36,USD,Medical Services,Mechanical Services,Maintenance,6,Open Tender,54.4,Net 90,2016-09-19,2017-03-18,PO921169,Accra Office,PRJ7647,BUD941,Manager,Completed
TXN001172,SUP0152,2020-08-02,71685.41,USD,Medical Services,Office Supplies,Administration,36,Restricted Tender,94.7,Net 60,2020-08-02,2023-07-18,PO516814,Ahafo North,PRJ4717,BUD840,Director,Completed
TXN001173,SUP0279,2020-08-22,158993.57,USD,Consulting Services,Training Services,Mining Operations,3,Open Tender,21.9,Upon Delivery,2020-08-22,2020-11-20,PO857607,Accra Office,PRJ6581,BUD910,Manager,Completed
TXN001174,SUP0196,2017-01-08,126159.07,USD,Medical Services,Waste Management,Maintenance,3,Open Tender,87.6,Upon Delivery,2017-01-08,2017-04-08,PO907540,Accra Office,PRJ4433,BUD549,SVP,Completed
TXN001175,SUP0064,2022-07-11,69714.33,USD,Accounting Services,Training Services,Maintenance,1,Open Tender,94.7,Net 90,2022-07-11,2022-08-10,PO245699,Ahafo North,PRJ6006,BUD855,Manager,Completed
TXN001176,SUP0371,2021-03-18,47596.67,USD,Supplies & Materials,Laboratory Services,Administration,3,Direct Award,99.5,Net 90,2021-03-18,2021-06-16,PO456329,Ahafo North,PRJ7867,BUD535,SVP,Completed
TXN001177,SUP0016,2025-06-27,182359.08,USD,Transportation & Logistics,Consulting Services,Mining Operations,3,Open Tender,93.4,Net 90,2025-06-27,2025-09-25,PO441919,Ahafo South,PRJ1527,BUD242,Director,Completed
TXN001178,SUP0078,2017-05-29,43735.97,USD,Environmental Services,Catering Services,Maintenance,24,Open Tender,96.3,Upon Delivery,2017-05-29,2019-05-19,PO499841,Ahafo North,PRJ7400,BUD165,SVP,Completed
TXN001179,SUP0207,2014-03-23,15983.16,USD,Environmental Services,Construction Services,Mining Operations,12,Direct Award,95.4,Net 30,2014-03-23,2015-03-18,PO444815,Accra Office,PRJ5991,BUD195,Director,Completed
TXN001180,SUP0312,2012-05-04,13856.28,USD,Safety Equipment,Security Services,Mining Operations,3,Restricted Tender,95.2,Net 60,2012-05-04,2012-08-02,PO133616,Accra Office,PRJ1439,BUD291,Director,Completed
TXN001181,SUP0219,2011-07-24,1552291.2,USD,Construction Services,Fuel & Lubricants,Maintenance,12,Open Tender,29.1,Net 90,2011-07-24,2012-07-18,PO315893,Ahafo North,PRJ5769,BUD775,Manager,Completed
TXN001182,SUP0289,2020-03-13,146232.55,USD,Civil Works,Office Supplies,Security,1,Open Tender,80.7,Net 90,2020-03-13,2020-04-12,PO643719,Ahafo South,PRJ3815,BUD434,SVP,Completed
TXN001183,SUP0026,2018-10-09,419401.54,USD,Equipment Parts,Security Services,Mining Operations,1,Open Tender,24.1,Net 30,2018-10-09,2018-11-08,PO235410,Accra Office,PRJ8835,BUD860,Manager,Completed
TXN001184,SUP0331,2018-09-22,55777.99,USD,Transportation & Logistics,Waste Management,Community Relations,1,Open Tender,92.2,Net 60,2018-09-22,2018-10-22,PO315667,Subika,PRJ8081,BUD937,SVP,Completed
TXN001185,SUP0188,2013-07-24,152861.33,USD,Civil Works,Security Services,Environmental,3,Restricted Tender,45.3,Net 90,2013-07-24,2013-10-22,PO716029,,PRJ9232,BUD833,SVP,Completed
TXN001186,SUP0010,2016-03-06,608309.88,USD,Office Supplies,IT Services,Administration,1,Open Tender,25.4,Net 30,2016-03-06,2016-04-05,PO249623,Accra Office,PRJ2048,BUD944,SVP,Completed
TXN001187,SUP0366,2023-07-26,237038.19,USD,Equipment Rental,Laboratory Services,Security,1,Open Tender,83.9,Net 90,2023-07-26,2023-08-25,PO696879,Accra Office,PRJ8539,BUD573,Manager,Completed
TXN001188,SUP0378,2012-01-17,5240.86,USD,Consulting Services,Maintenance Services,Environmental,6,Direct Award,95.5,Upon Delivery,2012-01-17,2012-07-15,PO463627,Subika,PRJ7407,BUD727,Director,Completed
TXN001189,SUP0120,2019-04-24,304437.4,USD,Accounting Services,Environmental Services,Maintenance,3,Open Tender,62.9,Net 60,2019-04-24,2019-07-23,PO747743,Accra Office,PRJ8501,BUD493,Director,Completed
TXN001190,SUP0375,2025-09-01,33176.29,USD,Electrical Services,Equipment Rental,Mining Operations,24,Open Tender,97.6,Net 30,2025-09-01,2027-08-22,PO512668,Ahafo South,PRJ4927,BUD991,Director,Active
TXN001191,SUP0473,2016-02-21,288735.875,GHS,Electrical Services,Consulting Services,Mining Operations,36,Restricted Tender,98.7,Net 90,2016-02-21,2019-02-05,PO799040,Ahafo South,PRJ4559,BUD605,SVP,Completed
TXN001192,SUP0220,2022-05-26,735816.25,USD,Laboratory Services,Catering Services,Environmental,1,Open Tender,12.8,Net 90,2022-05-26,2022-06-25,PO180251,Ahafo South,PRJ9264,BUD884,VP,Completed
TXN001193,SUP0458,2019-03-14,1376589.25,GHS,Transportation & Logistics,Equipment Rental,Community Relations,2,Open Tender,64.6,Net 60,2019-03-14,2019-05-13,PO365045,Ahafo North,PRJ9291,BUD145,SVP,Completed
TXN001194,SUP0114,2010-08-07,247812.59,USD,Training Services,Training Services,Community Relations,1,Open Tender,12.7,Upon Delivery,2010-08-07,2010-09-06,PO499670,Subika,PRJ7542,BUD976,Director,Completed
TXN001195,SUP0096,2018-11-24,270909.97,USD,Supplies & Materials,Electrical Services,Maintenance,1,Open Tender,66.6,Net 30,2018-11-24,2018-12-24,PO362779,Ahafo South,PRJ3236,BUD434,SVP,Completed
TXN001196,SUP0165,2020-11-15,178533.875,GHS,Office Supplies,Transportation & Logistics,Mining Operations,2,Restricted Tender,96.5,Net 30,2020-11-15,2021-01-14,PO186558,Ahafo North,PRJ8171,BUD243,SVP,Completed
TXN001197,SUP0361,2016-04-05,59494.99,USD,Civil Works,Legal Services,Mining Operations,1,Open Tender,75.3,Net 60,2016-04-05,2016-05-05,PO979226,Ahafo South,PRJ2646,BUD281,VP,Completed
TXN001198,SUP0377,2012-10-14,878700.67,USD,Consulting Services,Equipment Rental,Maintenance,24,Open Tender,11.6,Upon Delivery,2012-10-14,2014-10-04,PO276636,Ahafo South,PRJ1183,BUD793,VP,Completed
TXN001199,SUP0365,2013-06-11,4828714.82,USD,Waste Management,Equipment Parts,Mining Operations,2,Open Tender,13.8,Net 90,2013-06-11,2013-08-10,PO286583,Ahafo North,PRJ1564,BUD791,Director,Completed
TXN001200,SUP0149,2019-12-01,26955.6,USD,Equipment Rental,Office Supplies,Maintenance,3,Open Tender,99.8,Net 30,2019-12-01,2020-02-29,PO977135,Ahafo South,PRJ7399,BUD806,VP,Completed
TXN001201,SUP0134,2019-12-17,525907.25,GHS,Catering Services,Consulting Services,Maintenance,1,Restricted Tender,90.7,Net 30,2019-12-17,2020-01-16,PO151028,Accra Office,PRJ4305,BUD355,VP,Completed
TXN001202,SUP0091,2015-05-09,31838.75,USD,Legal Services,IT Services,Mining Operations,3,Restricted Tender,98.1,Net 30,2015-05-09,2015-08-07,PO116817,Accra Office,PRJ1457,BUD114,VP,Completed
TXN001203,SUP0100,2014-04-24,17943.46,USD,Maintenance Services,Financial Services,Mining Operations,36,Restricted Tender,96.6,Net 30,2014-04-24,2017-04-08,,Ahafo South,PRJ3750,BUD841,Director,Completed
TXN001204,SUP0233,2010-12-27,134250.33,USD,Equipment Rental,Safety Equipment,Administration,2,Restricted Tender,36.6,Net 30,2010-12-27,2011-02-25,PO955244,Subika,PRJ6286,BUD675,Director,Completed
TXN001205,SUP0312,2024-01-05,28523.94,USD,Safety Equipment,Security Services,Mining Operations,1,Direct Award,95.3,Upon Delivery,2024-01-05,2024-02-04,PO548665,Ahafo South,PRJ4807,BUD318,Manager,Completed
TXN001206,SUP0017,2017-12-31,61000.91,USD,IT Services,Office Supplies,Mining Operations,6,Direct Award,92.5,Net 60,2017-12-31,2018-06-29,PO115722,Accra Office,PRJ6181,BUD112,SVP,Cancelled
TXN001207,SUP0035,2014-10-09,4116470.29,USD,Construction Services,Office Supplies,Mining Operations,12,Open Tender,8.9,Net 60,2014-10-09,2015-10-04,PO169223,Subika,PRJ7045,BUD144,Manager,Completed
TXN001208,SUP0136,2014-11-26,422759.0,USD,Construction Services,Catering Services,Mining Operations,12,Open Tender,87.0,Net 90,2014-11-26,2015-11-21,PO904829,Accra Office,PRJ2668,BUD829,Director,Completed
TXN001209,SUP0104,2015-08-26,196542.84,USD,Electrical Services,Accounting Services,Maintenance,1,Open Tender,46.6,Net 90,2015-08-26,2015-09-25,PO761519,Accra Office,PRJ3177,BUD440,Director,Completed
TXN001210,SUP0124,2024-04-01,11108.41,USD,Office Supplies,Transportation & Logistics,Maintenance,3,Direct Award,99.7,Net 90,2024-04-01,2024-06-30,PO992919,Accra Office,PRJ2106,BUD443,Manager,Completed
TXN001211,SUP0145,2023-08-26,164053.78,USD,Accounting Services,Equipment Rental,Maintenance,24,Restricted Tender,92.5,Upon Delivery,2023-08-26,2025-08-15,PO500945,Ahafo North,PRJ9248,BUD701,Manager,Completed
TXN001212,SUP0333,2015-03-21,43174.61,USD,Catering Services,Accounting Services,Maintenance,1,Open Tender,98.6,Net 30,2015-03-21,2015-04-20,PO423851,Ahafo North,PRJ8020,BUD875,Director,Completed
TXN001213,SUP0067,2023-11-26,16831.61,USD,Financial Services,Civil Works,Environmental,1,Restricted Tender,98.3,Net 30,2023-11-26,2023-12-26,PO244237,Subika,PRJ9171,BUD403,Director,Completed
TXN001214,SUP0357,2013-05-27,44052.7,USD,Supplies & Materials,Construction Services,Mining Operations,2,Open Tender,98.5,Net 60,2013-05-27,2013-07-26,PO773226,Ahafo South,PRJ4900,BUD842,SVP,Completed
TXN001215,SUP0300,2017-05-16,1534039.0,GHS,Equipment Rental,Legal Services,Administration,1,Open Tender,96.3,Net 90,2017-05-16,2017-06-15,PO432963,Ahafo South,PRJ9533,BUD910,SVP,Completed
TXN001216,SUP0111,2024-07-14,34450.2,USD,Electrical Services,Office Supplies,Mining Operations,6,Direct Award,81.5,Net 30,2024-07-14,2025-01-10,PO340134,Subika,PRJ6615,BUD348,Director,Completed
TXN001217,SUP0143,2022-02-05,443609.98,USD,IT Services,Medical Services,Maintenance,1,Open Tender,61.5,Net 60,2022-02-05,2022-03-07,PO940383,Ahafo North,PRJ7250,BUD633,VP,Completed
TXN001218,SUP0373,2014-02-12,28750.21,USD,Maintenance Services,Civil Works,Environmental,12,Open Tender,98.0,Net 30,2014-02-12,2015-02-07,PO167755,Accra Office,PRJ2146,BUD297,Manager,Completed
TXN001219,SUP0429,2024-03-24,167257.17,USD,Equipment Rental,Supplies & Materials,Community Relations,1,Open Tender,89.0,Net 60,2024-03-24,2024-04-23,PO231660,Ahafo South,PRJ3845,BUD706,Director,Completed
TXN001220,SUP0312,2015-04-20,35882.59,USD,Safety Equipment,Security Services,Administration,3,Open Tender,95.9,Net 30,2015-04-20,2015-07-19,PO546944,Accra Office,PRJ6103,BUD268,Director,Completed
TXN001221,SUP0175,2015-06-30,969233.36,USD,Medical Services,Safety Equipment,Mining Operations,12,Open Tender,36.6,Net 60,2015-06-30,2016-06-24,PO735281,,PRJ5966,BUD392,SVP,Completed
TXN001222,SUP0294,2024-04-03,29142.59,USD,Electrical Services,Mechanical Services,Maintenance,3,Restricted Tender,82.8,Net 90,2024-04-03,2024-07-02,PO919240,Accra Office,PRJ2310,BUD468,SVP,Completed
TXN001223,SUP0405,2018-06-22,53073.61,USD,Legal Services,Financial Services,Security,3,Open Tender,88.3,Upon Delivery,2018-06-22,2018-09-20,PO562816,Accra Office,PRJ9278,BUD724,SVP,Completed
TXN001224,SUP0396,2013-06-30,36099435.18849785,GHS,Mechanical Services,Office Supplies,Mining Operations,12,Open Tender,8.5,Net 30,2013-06-30,2014-06-25,PO898940,Accra Office,PRJ8002,BUD974,Manager,Completed
TXN001225,SUP0498,2016-09-25,114091.66,USD,Equipment Parts,Transportation & Logistics,Mining Operations,3,Open Tender,97.7,Net 60,2016-09-25,2016-12-24,PO679707,Ahafo North,PRJ5215,BUD489,SVP,Completed
TXN001226,SUP0129,2016-11-10,9171.65,USD,Civil Works,Mechanical Services,Mining Operations,2,Restricted Tender,95.9,Net 90,2016-11-10,2017-01-09,PO493370,Accra Office,PRJ2178,BUD441,Director,Completed
TXN001227,SUP0429,2020-07-11,21980.3,USD,Equipment Rental,Supplies & Materials,Maintenance,1,Direct Award,88.4,Net 60,2020-07-11,2020-08-10,PO298837,Ahafo South,PRJ1210,BUD982,VP,Completed
TXN001228,SUP0006,2021-01-08,142089.93,USD,Training Services,Environmental Services,Security,12,Restricted Tender,90.6,Upon Delivery,2021-01-08,2022-01-03,PO513820,Subika,PRJ7292,BUD601,VP,Completed
TXN001229,SUP0270,2024-05-18,1663213.4582165764,USD,Financial Services,Mechanical Services,Environmental,24,Open Tender,85.8,Net 30,2024-05-18,2026-05-08,PO528644,Ahafo South,PRJ3039,BUD494,Director,Active
TXN001230,SUP0024,2014-05-11,98608.67,USD,Laboratory Services,Training Services,Administration,12,Open Tender,79.7,Net 90,2014-05-11,2015-05-06,PO908735,Subika,PRJ9349,BUD826,SVP,Completed
TXN001231,SUP0068,2024-03-29,419031.44,USD,Security Services,Catering Services,Community Relations,36,Open Tender,27.8,Net 90,2024-03-29,2027-03-14,PO830286,Ahafo South,PRJ7313,BUD534,Director,Active
TXN001232,SUP0491,2015-06-09,16431959.75,GHS,Equipment Parts,Accounting Services,Mining Operations,2,Restricted Tender,62.2,Net 30,2015-06-09,2015-08-08,PO952624,Subika,PRJ1462,BUD814,Director,Completed
TXN001233,SUP0443,2015-11-11,1293949.75,GHS,Civil Works,Office Supplies,Security,3,Restricted Tender,74.0,Upon Delivery,2015-11-11,2016-02-09,,Ahafo North,PRJ5166,BUD353,Director,Completed
TXN001234,SUP0292,2010-04-12,15451.67,USD,Transportation & Logistics,Consulting Services,Mining Operations,1,Direct Award,98.7,Net 30,2010-04-12,2010-05-12,PO775699,Accra Office,PRJ7515,BUD823,Manager,Completed
TXN001235,SUP0353,2021-08-18,2895796.27,USD,Equipment Rental,Catering Services,Administration,1,Restricted Tender,15.8,Upon Delivery,2021-08-18,2021-09-17,PO273878,Accra Office,PRJ5143,BUD808,VP,Completed
TXN001236,SUP0185,2021-03-25,462474.37499999994,GHS,Mechanical Services,Transportation & Logistics,Maintenance,24,Open Tender,93.3,Upon Delivery,2021-03-25,2023-03-15,PO714549,Subika,PRJ7743,BUD870,Manager,Completed
TXN001237,SUP0307,2012-06-14,59170.2,USD,Legal Services,Financial Services,Mining Operations,36,Restricted Tender,49.5,Net 90,2012-06-14,2015-05-30,PO953779,Ahafo North,PRJ5407,BUD866,Director,Completed
TXN001238,SUP0495,2018-12-05,291944.84,USD,Laboratory Services,Laboratory Services,Security,36,Restricted Tender,40.8,Net 90,2018-12-05,2021-11-19,PO106732,Ahafo North,PRJ9056,BUD101,Manager,Completed
TXN001239,SUP0043,2011-07-27,119564.6,USD,Equipment Rental,Mechanical Services,Environmental,3,Open Tender,97.8,Upon Delivery,2011-07-27,2011-10-25,PO650462,Accra Office,PRJ5724,BUD850,SVP,Completed
TXN001240,SUP0123,2013-10-29,94677.11,USD,Office Supplies,Accounting Services,Maintenance,1,Open Tender,72.7,Net 90,2013-10-29,2013-11-28,PO295454,Ahafo North,PRJ4244,BUD598,Director,Completed
TXN001241,SUP0434,2021-04-10,43392.86,USD,Waste Management,Fuel & Lubricants,Mining Operations,1,Open Tender,95.5,Upon Delivery,2021-04-10,2021-05-10,PO694639,Ahafo North,PRJ4041,BUD305,Manager,Completed
TXN001242,SUP0157,2014-02-05,732027.01,USD,Catering Services,Legal Services,Maintenance,3,Open Tender,29.9,Net 90,2014-02-05,2014-05-06,PO528649,,PRJ2789,BUD989,Director,Cancelled
TXN001243,SUP0477,2011-10-16,10848.89,USD,Training Services,Mechanical Services,Community Relations,6,Restricted Tender,97.3,Net 30,2011-10-16,2012-04-13,PO496077,Ahafo South,PRJ5534,BUD165,VP,Completed
TXN001244,SUP0493,2010-09-01,101015.6,USD,Waste Management,Environmental Services,Mining Operations,3,Open Tender,81.0,Net 60,2010-09-01,2010-11-30,PO601111,Accra Office,PRJ2651,BUD109,Manager,Completed
TXN001245,SUP0074,2015-12-20,180449.27,USD,Legal Services,Financial Services,Mining Operations,1,Open Tender,30.1,Net 30,2015-12-20,2016-01-19,PO201546,,PRJ9557,BUD910,Manager,Completed
TXN001246,SUP0185,2018-06-05,158732.78,USD,Mechanical Services,Transportation & Logistics,Security,24,Open Tender,79.4,Net 90,2018-06-05,2020-05-25,PO609530,Accra Office,PRJ6521,BUD718,SVP,Completed
TXN001247,SUP0122,2017-07-20,2700187.07,USD,Construction Services,Medical Services,Maintenance,6,Open Tender,14.6,Net 90,2017-07-20,2018-01-16,PO430536,Ahafo North,PRJ6918,BUD781,SVP,Completed
TXN001248,SUP0283,2018-06-28,71047.46,USD,Maintenance Services,Laboratory Services,Security,24,Open Tender,80.2,Net 30,2018-06-28,2020-06-17,PO473323,Subika,PRJ2641,BUD103,SVP,Completed
TXN001249,SUP0437,2025-08-30,24145.26,USD,Legal Services,Fuel & Lubricants,Mining Operations,12,Direct Award,98.5,Net 60,2025-08-30,2026-08-25,PO126927,Ahafo South,PRJ9693,BUD386,Director,Active
TXN001250,SUP0261,2018-04-07,8336628.375,GHS,Waste Management,Medical Services,Environmental,2,Open Tender,36.9,Upon Delivery,2018-04-07,2018-06-06,PO639926,Accra Office,PRJ4079,BUD103,VP,Completed
TXN001251,SUP0357,2010-05-17,40717.57,USD,Supplies & Materials,Construction Services,Mining Operations,3,Open Tender,95.8,Net 90,2010-05-17,2010-08-15,PO147976,Subika,PRJ8279,BUD339,SVP,Completed
TXN001252,SUP0348,2018-12-23,17641.38,USD,Equipment Parts,Waste Management,Community Relations,3,Direct Award,96.3,Net 30,2018-12-23,2019-03-23,PO465254,Accra Office,PRJ8800,BUD774,Manager,Completed
TXN001253,SUP0484,2018-08-19,9103426.532105738,USD,Maintenance Services,Safety Equipment,Environmental,6,Open Tender,28.8,Net 60,2018-08-19,2019-02-15,PO846525,Ahafo North,PRJ9520,BUD997,Manager,Completed
TXN001254,SUP0104,2012-11-13,353914.32,USD,Electrical Services,Accounting Services,Maintenance,12,Open Tender,37.2,Net 30,2012-11-13,2013-11-08,PO415986,Accra Office,PRJ3753,BUD556,Manager,Completed
TXN001255,SUP0270,2020-10-24,185255.94,USD,Financial Services,Mechanical Services,Environmental,36,Open Tender,76.7,Net 60,2020-10-24,2023-10-09,PO355177,Ahafo North,PRJ3792,BUD871,Manager,Completed
TXN001256,SUP0460,2012-05-14,85388.0,GHS,Legal Services,Equipment Parts,Mining Operations,12,Direct Award,97.6,Net 30,2012-05-14,2013-05-09,PO268018,Subika,PRJ7283,BUD884,VP,Completed
TXN001257,SUP0396,2014-12-11,2253062.07,USD,Mechanical Services,Office Supplies,Mining Operations,36,Open Tender,6.7,Net 90,2014-12-11,2017-11-25,PO798281,Accra Office,PRJ3016,BUD781,Director,Completed
TXN001258,SUP0435,2021-12-27,45539.14,USD,Civil Works,Financial Services,Security,3,Open Tender,98.4,Upon Delivery,2021-12-27,2022-03-27,PO194835,Subika,PRJ4666,BUD689,Manager,Completed
TXN001259,SUP0162,2024-06-11,2376083.08,USD,Equipment Parts,Safety Equipment,Administration,2,Open Tender,22.0,Upon Delivery,2024-06-11,2024-08-10,,Accra Office,PRJ8159,BUD927,Director,Completed
TXN001260,SUP0494,2015-01-06,155576.91,USD,Office Supplies,Consulting Services,Mining Operations,2,Open Tender,84.4,Net 30,2015-01-06,2015-03-07,PO405110,Ahafo South,PRJ2824,BUD191,VP,Completed
TXN001261,SUP0380,2023-04-14,90171.38,USD,Supplies & Materials,Construction Services,Maintenance,1,Open Tender,71.8,Net 30,2023-04-14,2023-05-14,PO700665,Subika,PRJ3087,BUD973,VP,Completed
TXN001262,SUP0035,2018-07-12,7408382.48,USD,Construction Services,Office Supplies,Mining Operations,24,Open Tender,9.6,Net 30,2018-07-12,2020-07-01,PO425896,Ahafo South,PRJ9775,BUD294,SVP,Completed
TXN001263,SUP0057,2019-07-03,42425.75,USD,Environmental Services,Electrical Services,Community Relations,6,Open Tender,99.8,Net 90,2019-07-03,2019-12-30,PO936258,Ahafo North,PRJ9515,BUD779,Director,Completed
TXN001264,SUP0174,2012-05-23,354545.53,USD,Construction Services,Laboratory Services,Mining Operations,12,Open Tender,73.3,Net 30,2012-05-23,2013-05-18,PO664441,Accra Office,PRJ6176,BUD248,VP,Completed
TXN001265,SUP0312,2014-11-29,26549.08,USD,Safety Equipment,Security Services,Security,2,Open Tender,96.5,Upon Delivery,2014-11-29,2015-01-28,PO254586,Subika,PRJ3389,BUD864,Manager,Completed
TXN001266,SUP0457,2023-06-08,46641.08,USD,Financial Services,Transportation & Logistics,Environmental,6,Open Tender,97.3,Net 90,2023-06-08,2023-12-05,PO626781,Ahafo South,PRJ5480,BUD968,SVP,Completed
TXN001267,SUP0471,2024-02-26,19491.38,USD,Supplies & Materials,IT Services,Maintenance,1,Direct Award,98.4,Upon Delivery,2024-02-26,2024-03-27,PO405654,,PRJ1963,BUD929,VP,Completed
TXN001268,SUP0357,2013-06-04,48532.27,USD,Supplies & Materials,Construction Services,Mining Operations,3,Direct Award,98.5,Net 60,2013-06-04,2013-09-02,PO989265,Ahafo North,PRJ1861,BUD986,Director,Completed
TXN001269,SUP0109,2020-12-07,38217.95,USD,Consulting Services,Environmental Services,Mining Operations,36,Direct Award,78.5,Upon Delivery,2020-12-07,2023-11-22,PO413630,Ahafo North,PRJ1353,BUD661,SVP,Completed
TXN001270,SUP0279,2017-07-27,479051.9,USD,Consulting Services,Training Services,Security,12,Open Tender,31.1,Upon Delivery,2017-07-27,2018-07-22,PO465226,Accra Office,PRJ7407,BUD173,VP,Completed
TXN001271,SUP0381,2016-05-02,16108.77,USD,IT Services,Office Supplies,Mining Operations,36,Direct Award,99.2,Net 60,2016-05-02,2019-04-17,PO835165,Accra Office,PRJ2594,BUD234,VP,Completed
TXN001272,SUP0112,2023-01-07,545629.02,USD,Equipment Rental,Civil Works,Maintenance,1,Open Tender,90.6,Net 90,2023-01-07,2023-02-06,PO579757,Ahafo North,PRJ3253,BUD552,SVP,Completed
TXN001273,SUP0069,2016-07-12,37791.68,USD,Office Supplies,Safety Equipment,Mining Operations,1,Restricted Tender,95.3,Net 60,2016-07-12,2016-08-11,PO328732,Ahafo North,PRJ1149,BUD470,Manager,Completed
TXN001274,SUP0030,2025-03-19,28741.79,USD,Safety Equipment,Equipment Rental,Mining Operations,1,Direct Award,99.6,Upon Delivery,2025-03-19,2025-04-18,PO547858,Ahafo North,PRJ1922,BUD198,VP,Completed
TXN001275,SUP0057,2020-08-17,48709.81,USD,Environmental Services,Electrical Services,Security,3,Open Tender,97.5,Net 30,2020-08-17,2020-11-15,PO223047,Subika,PRJ8107,BUD252,SVP,Completed
TXN001276,SUP0369,2015-07-01,131822.05,USD,Office Supplies,Transportation & Logistics,Security,1,Open Tender,72.5,Net 30,2015-07-01,2015-07-31,PO352555,Accra Office,PRJ9005,BUD409,Director,Completed
TXN001277,SUP0256,2024-08-22,482006.82,USD,Fuel & Lubricants,Legal Services,Mining Operations,3,Open Tender,37.4,Upon Delivery,2024-08-22,2024-11-20,PO913537,Ahafo South,PRJ8596,BUD985,SVP,Completed
TXN001278,SUP0172,2016-03-04,21655.17,USD,Fuel & Lubricants,Supplies & Materials,Mining Operations,3,Direct Award,99.2,Upon Delivery,2016-03-04,2016-06-02,PO485166,Ahafo South,PRJ2966,BUD219,Manager,Completed
TXN001279,SUP0060,2012-09-26,73627.9,USD,Consulting Services,Waste Management,Mining Operations,12,Direct Award,91.3,Net 60,2012-09-26,2013-09-21,PO124145,Accra Office,PRJ5484,BUD810,Manager,Completed
TXN001280,SUP0369,2023-04-19,86365.02,USD,Office Supplies,Transportation & Logistics,Mining Operations,1,Restricted Tender,70.8,Upon Delivery,2023-04-19,2023-05-19,PO607711,Accra Office,PRJ5888,BUD685,Director,Completed
TXN001281,SUP0294,2012-03-25,12682.88,USD,Electrical Services,Mechanical Services,Mining Operations,6,Restricted Tender,93.5,Net 30,2012-03-25,2012-09-21,PO848440,Ahafo North,PRJ7640,BUD932,Manager,Completed
TXN001282,SUP0026,2018-10-31,759108.58,USD,Equipment Parts,Security Services,Administration,3,Open Tender,31.6,Upon Delivery,2018-10-31,2019-01-29,PO167037,Ahafo South,PRJ4399,BUD774,Manager,Completed
TXN001283,SUP0306,2014-01-20,1361788.63,USD,Maintenance Services,Financial Services,Maintenance,24,Restricted Tender,12.0,Net 60,2014-01-20,2016-01-10,PO105582,Accra Office,PRJ6149,BUD225,Manager,Completed
TXN001284,SUP0016,2012-11-21,35058.61,USD,Transportation & Logistics,Consulting Services,Mining Operations,3,Open Tender,93.2,Net 60,2012-11-21,2013-02-19,PO784343,Ahafo North,PRJ2438,BUD675,VP,Completed
TXN001285,SUP0016,2010-10-14,72271.77,USD,Transportation & Logistics,Consulting Services,Mining Operations,1,Open Tender,79.2,Net 30,2010-10-14,2010-11-13,PO630734,Subika,PRJ6956,BUD657,Director,Completed
TXN001286,SUP0158,2019-06-28,512591.97,USD,Mechanical Services,Security Services,Administration,36,Open Tender,28.7,Net 30,2019-06-28,2022-06-12,PO360400,Subika,PRJ1756,BUD631,VP,Completed
TXN001287,SUP0354,2024-10-13,20824.67,USD,Legal Services,Waste Management,Mining Operations,24,Direct Award,91.2,Upon Delivery,2024-10-13,2026-10-03,PO246648,Accra Office,PRJ6127,BUD635,VP,Active
TXN001288,SUP0310,2023-08-06,105392.78,USD,Electrical Services,Equipment Parts,Maintenance,24,Open Tender,91.3,Net 60,2023-08-06,2025-07-26,PO821347,Ahafo South,PRJ1732,BUD342,Manager,Completed
TXN001289,SUP0330,2014-03-21,120446.21,USD,Financial Services,Legal Services,Security,3,Open Tender,92.2,Net 90,2014-03-21,2014-06-19,PO997670,Ahafo North,PRJ3198,BUD716,Director,Completed
TXN001290,SUP0343,2023-04-10,198028.4,USD,Environmental Services,Laboratory Services,Maintenance,6,Open Tender,73.0,Net 90,2023-04-10,2023-10-07,PO234733,Accra Office,PRJ2218,BUD663,VP,Completed
TXN001291,SUP0320,2015-11-06,1333088.25,GHS,Safety Equipment,Financial Services,Environmental,2,Open Tender,77.2,Net 60,2015-11-06,2016-01-05,PO519492,Accra Office,PRJ2364,BUD360,SVP,Completed
