performance_id,supplier_id,year,quarter,assessment_date,delivery_performance_pct,quality_score,cost_competitiveness_score,safety_compliance_score,contract_compliance_pct,innovation_score,capacity_utilization_pct,overall_score,improvement_recommendations,contract_renewals_eligible,assessed_by
PERF004997,SUP0125,2012,1,2012-03-01,97.7,8.6,9.3,9.5,93.5,6.8,100.0,8.6,Minor process improvements needed,Yes,Assessor_18
PERF004998,SUP0125,2012,2,2012-06-01,100.0,9.5,10.0,8.6,100.0,8.7,88.7,9.2,None - Excellent Performance,Yes,Assessor_04
PERF004999,SUP0125,2012,3,2012-09-01,100.0,8.0,7.8,8.8,92.2,7.0,100.0,7.9,Focus on delivery timelines,Under Review,Assessor_16
PERF005000,SUP0125,2012,4,2012-12-01,100.0,8.8,8.7,8.7,100.0,5.8,87.5,8.0,Focus on delivery timelines,Under Review,Assessor_19
PERF005001,SUP0125,2013,1,2013-03-01,100.0,9.4,9.5,9.1,86.2,6.6,100.0,8.7,Minor process improvements needed,Yes,Assessor_14
PERF005002,SUP0125,2013,2,2013-06-01,100.0,8.4,8.2,9.3,100.0,8.2,96.5,8.5,Minor process improvements needed,Yes,Assessor_11
PERF005003,SUP0125,2013,3,2013-09-01,98.8,9.7,9.1,7.6,100.0,6.6,100.0,8.3,Minor process improvements needed,Under Review,Assessor_01
PERF005004,SUP0125,2013,4,2013-12-01,100.0,9.7,8.9,8.9,100.0,6.3,100.0,8.4,Minor process improvements needed,Yes,Assessor_06
PERF005005,SUP0125,2014,1,2014-03-01,100.0,9.2,8.8,9.1,94.5,5.7,100.0,8.2,Minor process improvements needed,Yes,Assessor_05
PERF005006,SUP0125,2014,2,2014-06-01,100.0,8.9,8.9,8.1,100.0,4.5,94.8,7.6,Focus on delivery timelines,Under Review,Assessor_18
PERF005007,SUP0125,2014,3,2014-09-01,100.0,8.6,8.0,8.7,98.2,6.1,100.0,7.8,Focus on delivery timelines,Under Review,Assessor_09
PERF005008,SUP0125,2014,4,2014-12-01,100.0,10.0,7.8,8.2,98.5,8.3,98.3,8.6,Minor process improvements needed,Yes,Assessor_05
PERF005009,SUP0125,2015,1,2015-03-01,98.5,8.9,8.1,9.1,100.0,8.8,95.0,8.7,Minor process improvements needed,Yes,Assessor_01
PERF005010,SUP0125,2015,2,2015-06-01,100.0,9.1,8.3,10.0,100.0,6.7,85.3,8.5,Minor process improvements needed,Yes,Assessor_05
PERF005011,SUP0125,2015,3,2015-09-01,100.0,8.9,8.0,7.8,87.2,7.0,100.0,7.9,Focus on delivery timelines,Under Review,Assessor_06
PERF005012,SUP0125,2015,4,2015-12-01,100.0,9.4,9.1,10.0,100.0,6.3,91.2,8.7,Minor process improvements needed,Yes,Assessor_16
PERF005013,SUP0125,2016,1,2016-03-01,94.9,9.2,9.6,9.1,99.0,5.5,100.0,8.4,Minor process improvements needed,Yes,Assessor_07
PERF005014,SUP0125,2016,2,2016-06-01,100.0,9.7,9.6,9.0,98.8,6.5,100.0,8.7,Minor process improvements needed,Yes,Assessor_14
PERF005015,SUP0125,2016,3,2016-09-01,100.0,9.0,7.4,9.1,98.7,6.8,100.0,8.1,Minor process improvements needed,Yes,Assessor_15
PERF005016,SUP0125,2016,4,2016-12-01,100.0,9.5,9.1,8.8,100.0,9.3,87.3,9.2,None - Excellent Performance,Yes,Assessor_12
PERF005017,SUP0125,2017,1,2017-03-01,100.0,10.0,10.0,9.4,88.8,8.8,98.2,9.6,None - Excellent Performance,Yes,Assessor_11
PERF005018,SUP0125,2017,2,2017-06-01,100.0,9.1,9.2,9.3,99.4,6.1,92.4,8.4,Minor process improvements needed,Yes,Assessor_08
PERF005019,SUP0125,2017,3,2017-09-01,100.0,9.2,8.2,9.1,100.0,7.8,80.7,8.6,Minor process improvements needed,Yes,Assessor_13
PERF005020,SUP0125,2017,4,2017-12-01,100.0,8.8,10.0,9.1,100.0,6.5,90.5,8.6,Minor process improvements needed,Yes,Assessor_05
PERF005021,SUP0125,2018,1,2018-03-01,100.0,9.4,9.7,9.7,92.4,6.6,90.7,8.8,Minor process improvements needed,Yes,Assessor_12
PERF005022,SUP0125,2018,2,2018-06-01,100.0,9.9,8.9,9.4,100.0,6.3,100.0,8.6,Minor process improvements needed,Yes,Assessor_03
PERF005023,SUP0125,2018,3,2018-09-01,100.0,8.8,9.1,8.5,100.0,8.3,82.7,8.7,Minor process improvements needed,Yes,Assessor_14
PERF005024,SUP0125,2018,4,2018-12-01,100.0,10.0,8.7,8.5,100.0,6.8,89.0,8.5,Minor process improvements needed,Yes,Assessor_02
PERF005025,SUP0125,2019,1,2019-03-01,100.0,9.1,8.6,8.8,100.0,9.2,91.2,9.0,Minor process improvements needed,Yes,Assessor_07
PERF005026,SUP0125,2019,2,2019-06-01,100.0,8.9,7.8,9.3,92.2,6.7,100.0,8.2,Minor process improvements needed,Yes,Assessor_15
PERF005027,SUP0125,2019,3,2019-09-01,100.0,9.4,9.1,8.7,100.0,9.5,100.0,9.2,None - Excellent Performance,Yes,Assessor_08
PERF005028,SUP0125,2019,4,2019-12-01,100.0,9.5,10.0,9.3,100.0,6.1,81.6,8.7,Minor process improvements needed,Yes,Assessor_06
PERF005029,SUP0125,2020,1,2020-03-01,100.0,9.3,9.6,8.6,100.0,6.8,77.1,8.6,Minor process improvements needed,Yes,Assessor_17
PERF005030,SUP0125,2020,2,2020-06-01,100.0,9.4,9.7,9.5,100.0,7.9,92.7,9.1,None - Excellent Performance,Yes,Assessor_16
PERF005031,SUP0125,2020,3,2020-09-01,100.0,8.5,8.5,9.4,100.0,5.8,100.0,8.0,Minor process improvements needed,Yes,Assessor_18
PERF005032,SUP0125,2020,4,2020-12-01,100.0,10.0,7.5,10.0,95.3,8.1,100.0,8.9,Minor process improvements needed,Yes,Assessor_07
PERF005033,SUP0125,2021,1,2021-03-01,100.0,9.9,7.9,10.0,100.0,7.3,85.5,8.8,Minor process improvements needed,Yes,Assessor_02
PERF005034,SUP0125,2021,2,2021-06-01,100.0,9.6,8.1,9.9,100.0,9.7,91.2,9.3,None - Excellent Performance,Yes,Assessor_19
PERF005035,SUP0125,2021,3,2021-09-01,100.0,10.0,9.2,9.4,95.5,8.9,94.6,9.4,None - Excellent Performance,Yes,Assessor_06
PERF005036,SUP0125,2021,4,2021-12-01,100.0,8.6,8.7,9.3,100.0,4.9,100.0,7.9,Focus on delivery timelines,Under Review,Assessor_01
PERF005037,SUP0125,2022,1,2022-03-01,100.0,9.4,9.4,9.0,100.0,5.6,100.0,8.4,Minor process improvements needed,Yes,Assessor_01
PERF005038,SUP0125,2022,2,2022-06-01,100.0,9.1,7.9,9.7,100.0,7.5,89.2,8.6,Minor process improvements needed,Yes,Assessor_07
PERF005039,SUP0125,2022,3,2022-09-01,100.0,9.2,8.8,10.0,97.3,9.1,79.0,9.3,None - Excellent Performance,Yes,Assessor_08
PERF005040,SUP0125,2022,4,2022-12-01,100.0,9.7,8.7,10.0,100.0,8.6,91.8,9.2,None - Excellent Performance,Yes,Assessor_12
PERF005041,SUP0125,2023,1,2023-03-01,100.0,9.0,8.1,8.8,89.1,6.7,71.4,8.2,Minor process improvements needed,Yes,Assessor_16
PERF005042,SUP0125,2023,2,2023-06-01,100.0,9.9,8.3,9.0,100.0,7.2,100.0,8.6,Minor process improvements needed,Yes,Assessor_02
PERF005043,SUP0125,2023,3,2023-09-01,100.0,10.0,9.1,8.5,89.9,8.1,99.6,8.9,Minor process improvements needed,Yes,Assessor_02
PERF005044,SUP0125,2023,4,2023-12-01,100.0,9.7,7.7,9.0,87.8,6.1,96.7,8.1,Minor process improvements needed,Yes,Assessor_01
PERF005045,SUP0125,2024,1,2024-03-01,100.0,9.7,8.1,9.5,100.0,6.4,100.0,8.4,Minor process improvements needed,Yes,Assessor_16
PERF005046,SUP0125,2024,2,2024-06-01,100.0,8.7,8.4,8.2,100.0,6.8,61.7,8.0,Minor process improvements needed,Yes,Assessor_08
PERF005047,SUP0125,2024,3,2024-09-01,100.0,9.7,8.6,9.5,100.0,7.1,100.0,8.7,Minor process improvements needed,Yes,Assessor_02
PERF005048,SUP0125,2024,4,2024-12-01,100.0,9.7,9.7,9.0,100.0,8.3,98.7,9.2,None - Excellent Performance,Yes,Assessor_07
PERF005049,SUP0125,2025,1,2025-03-01,100.0,10.0,8.1,9.7,84.2,6.9,81.3,8.7,Minor process improvements needed,Yes,Assessor_07
PERF005050,SUP0125,2025,2,2025-06-01,100.0,8.9,10.0,9.3,100.0,7.0,86.9,8.8,Minor process improvements needed,Yes,Assessor_14
PERF005051,SUP0125,2025,3,2025-09-01,100.0,10.0,8.5,9.3,100.0,7.7,100.0,8.9,Minor process improvements needed,Yes,Assessor_19
PERF005052,SUP0126,2019,1,2019-03-01,100.0,8.6,6.7,8.1,94.6,4.1,84.9,6.9,Enhance quality controls,Under Review,Assessor_14
PERF005053,SUP0126,2019,2,2019-06-01,97.3,8.5,8.2,8.4,96.5,4.6,100.0,7.4,Focus on delivery timelines,Under Review,Assessor_03
PERF005054,SUP0126,2019,3,2019-09-01,100.0,7.5,9.0,8.7,96.4,6.2,100.0,7.9,Focus on delivery timelines,Under Review,Assessor_11
PERF005055,SUP0126,2019,4,2019-12-01,100.0,9.0,7.7,8.1,100.0,4.6,93.9,7.3,Focus on delivery timelines,Under Review,Assessor_19
PERF005056,SUP0126,2020,1,2020-03-01,100.0,9.1,9.5,8.4,81.4,7.3,97.0,8.6,Minor process improvements needed,Yes,Assessor_19
PERF005057,SUP0126,2020,2,2020-06-01,100.0,7.9,6.4,8.8,90.3,3.5,86.2,6.6,Enhance quality controls,Under Review,Assessor_03
PERF005058,SUP0126,2020,3,2020-09-01,100.0,8.4,7.8,6.6,100.0,4.9,85.4,6.9,Enhance quality controls,Under Review,Assessor_01
PERF005059,SUP0126,2020,4,2020-12-01,100.0,9.0,9.0,7.8,100.0,7.0,84.2,8.2,Minor process improvements needed,Under Review,Assessor_12
PERF005060,SUP0126,2021,1,2021-03-01,100.0,9.1,7.5,8.3,100.0,6.2,83.8,7.8,Focus on delivery timelines,Under Review,Assessor_18
PERF005061,SUP0126,2021,2,2021-06-01,100.0,9.0,8.5,8.7,87.5,5.4,92.6,7.9,Focus on delivery timelines,Under Review,Assessor_06
PERF005062,SUP0126,2021,3,2021-09-01,98.9,8.8,9.2,8.4,95.6,4.4,100.0,7.7,Focus on delivery timelines,Under Review,Assessor_07
PERF005063,SUP0126,2021,4,2021-12-01,100.0,9.5,9.1,9.2,94.0,6.4,100.0,8.5,Minor process improvements needed,Yes,Assessor_08
PERF005064,SUP0126,2022,1,2022-03-01,100.0,7.8,8.7,8.8,100.0,6.7,97.9,8.0,Minor process improvements needed,Yes,Assessor_09
PERF005065,SUP0126,2022,2,2022-06-01,98.2,8.7,8.1,8.2,100.0,6.7,100.0,7.9,Focus on delivery timelines,Under Review,Assessor_11
PERF005066,SUP0126,2022,3,2022-09-01,100.0,7.8,8.5,8.3,97.6,6.5,84.0,7.8,Focus on delivery timelines,Under Review,Assessor_05
PERF005067,SUP0126,2022,4,2022-12-01,97.6,8.7,7.1,9.5,99.1,6.3,76.5,7.9,Focus on delivery timelines,Under Review,Assessor_19
PERF005068,SUP0126,2023,1,2023-03-01,100.0,8.8,8.8,8.7,90.9,6.1,79.8,8.1,Minor process improvements needed,Yes,Assessor_19
PERF005069,SUP0126,2023,2,2023-06-01,100.0,8.5,7.9,8.1,98.6,5.0,100.0,7.4,Focus on delivery timelines,Under Review,Assessor_19
PERF005070,SUP0126,2023,3,2023-09-01,100.0,9.6,8.0,8.8,100.0,5.7,93.0,8.0,Minor process improvements needed,Yes,Assessor_09
PERF005071,SUP0126,2023,4,2023-12-01,100.0,8.9,8.1,8.1,81.5,7.5,94.2,8.2,Minor process improvements needed,Yes,Assessor_03
PERF005072,SUP0126,2024,1,2024-03-01,100.0,9.1,8.7,8.1,100.0,7.1,85.3,8.2,Minor process improvements needed,Yes,Assessor_19
PERF005073,SUP0126,2024,2,2024-06-01,100.0,9.0,10.0,9.0,100.0,6.0,79.5,8.5,Minor process improvements needed,Yes,Assessor_18
PERF005074,SUP0126,2024,3,2024-09-01,100.0,8.3,8.8,10.0,86.5,7.7,86.0,8.7,Minor process improvements needed,Yes,Assessor_19
PERF005075,SUP0126,2024,4,2024-12-01,98.3,9.1,8.1,9.8,88.5,7.1,80.2,8.5,Minor process improvements needed,Yes,Assessor_11
PERF005076,SUP0126,2025,1,2025-03-01,100.0,9.2,9.1,9.7,83.3,8.5,100.0,9.1,None - Excellent Performance,Yes,Assessor_14
PERF005077,SUP0126,2025,2,2025-06-01,100.0,8.9,7.3,9.4,100.0,5.8,100.0,7.8,Focus on delivery timelines,Under Review,Assessor_08
PERF005078,SUP0126,2025,3,2025-09-01,100.0,9.5,8.4,8.9,100.0,6.8,98.2,8.4,Minor process improvements needed,Yes,Assessor_11
PERF005079,SUP0127,2011,1,2011-03-01,90.6,8.6,6.8,6.7,64.6,6.8,95.7,7.2,Focus on delivery timelines,Under Review,Assessor_08
PERF005080,SUP0127,2011,2,2011-06-01,80.0,7.6,7.4,7.8,77.3,7.5,84.6,7.6,Focus on delivery timelines,Under Review,Assessor_07
PERF005081,SUP0127,2011,3,2011-09-01,78.2,7.2,7.8,7.4,77.3,5.5,100.0,7.0,Enhance quality controls,Under Review,Assessor_09
PERF005082,SUP0127,2011,4,2011-12-01,86.3,7.2,7.4,6.4,79.0,7.4,86.8,7.1,Focus on delivery timelines,Under Review,Assessor_05
PERF005083,SUP0127,2012,1,2012-03-01,88.3,7.8,5.8,6.7,69.4,4.4,86.0,6.2,Enhance quality controls,Under Review,Assessor_09
PERF005084,SUP0127,2012,2,2012-06-01,85.8,7.3,7.1,6.8,72.7,7.0,100.0,7.0,Focus on delivery timelines,Under Review,Assessor_11
PERF005085,SUP0127,2012,3,2012-09-01,87.4,7.6,6.9,7.1,82.9,3.0,90.1,6.2,Enhance quality controls,Under Review,Assessor_16
PERF005086,SUP0127,2012,4,2012-12-01,91.2,7.4,6.8,6.9,75.4,5.9,76.4,6.7,Enhance quality controls,Under Review,Assessor_15
PERF005087,SUP0127,2013,1,2013-03-01,92.0,7.7,8.8,6.9,75.6,5.9,81.1,7.3,Focus on delivery timelines,Under Review,Assessor_06
PERF005088,SUP0127,2013,2,2013-06-01,83.5,7.4,6.7,6.9,82.8,4.5,63.6,6.4,Enhance quality controls,Under Review,Assessor_16
PERF005089,SUP0127,2013,3,2013-09-01,83.7,6.5,8.1,7.5,68.0,5.5,88.2,6.9,Enhance quality controls,Under Review,Assessor_05
PERF005090,SUP0127,2013,4,2013-12-01,81.9,7.5,7.8,7.1,81.3,6.3,96.0,7.2,Focus on delivery timelines,Under Review,Assessor_11
PERF005091,SUP0127,2014,1,2014-03-01,87.2,7.6,5.9,7.3,80.6,5.0,100.0,6.4,Enhance quality controls,Under Review,Assessor_15
PERF005092,SUP0127,2014,2,2014-06-01,83.3,7.6,8.1,7.4,78.4,6.4,100.0,7.4,Focus on delivery timelines,Under Review,Assessor_18
PERF005093,SUP0127,2014,3,2014-09-01,87.7,7.5,7.9,7.9,95.9,5.9,84.5,7.3,Focus on delivery timelines,Under Review,Assessor_19
PERF005094,SUP0127,2014,4,2014-12-01,88.5,7.0,5.8,7.7,83.9,3.1,84.2,5.9,Comprehensive improvement plan required,No,Assessor_11
PERF005095,SUP0127,2015,1,2015-03-01,84.3,8.1,6.3,7.0,77.3,4.9,77.2,6.6,Enhance quality controls,Under Review,Assessor_15
PERF005096,SUP0127,2015,2,2015-06-01,90.5,7.3,7.2,7.3,72.1,6.0,100.0,7.0,Enhance quality controls,Under Review,Assessor_04
PERF005097,SUP0127,2015,3,2015-09-01,85.1,7.8,6.7,8.2,76.7,4.8,86.9,6.9,Enhance quality controls,Under Review,Assessor_03
PERF005098,SUP0127,2015,4,2015-12-01,83.8,7.5,7.5,7.1,86.5,5.2,87.2,6.8,Enhance quality controls,Under Review,Assessor_14
PERF005099,SUP0127,2016,1,2016-03-01,81.4,8.5,8.1,7.2,78.2,3.7,77.3,6.9,Enhance quality controls,Under Review,Assessor_16
PERF005100,SUP0127,2016,2,2016-06-01,90.4,8.5,8.4,6.8,87.6,6.4,76.6,7.5,Focus on delivery timelines,Under Review,Assessor_18
PERF005101,SUP0127,2016,3,2016-09-01,78.8,7.0,4.8,7.7,66.7,5.1,96.8,6.1,Enhance quality controls,Under Review,Assessor_02
PERF005102,SUP0127,2016,4,2016-12-01,91.9,8.1,7.8,6.8,69.7,6.9,91.5,7.4,Focus on delivery timelines,Under Review,Assessor_04
PERF005103,SUP0127,2017,1,2017-03-01,89.1,8.1,6.4,7.2,91.4,6.5,100.0,7.1,Focus on delivery timelines,Under Review,Assessor_03
PERF005104,SUP0127,2017,2,2017-06-01,87.1,7.8,9.8,8.2,74.4,4.8,77.8,7.7,Focus on delivery timelines,Under Review,Assessor_15
PERF005105,SUP0127,2017,3,2017-09-01,92.4,7.9,7.9,7.6,86.1,6.6,88.7,7.5,Focus on delivery timelines,Under Review,Assessor_18
PERF005106,SUP0127,2017,4,2017-12-01,84.0,8.4,7.7,6.9,85.5,6.2,72.6,7.3,Focus on delivery timelines,Under Review,Assessor_12
PERF005107,SUP0127,2018,1,2018-03-01,88.9,8.4,6.3,7.1,74.9,5.1,100.0,6.7,Enhance quality controls,Under Review,Assessor_12
PERF005108,SUP0127,2018,2,2018-06-01,87.0,7.3,6.9,7.7,70.9,5.5,83.2,6.8,Enhance quality controls,Under Review,Assessor_14
PERF005109,SUP0127,2018,3,2018-09-01,89.6,8.1,7.2,8.2,74.6,5.5,77.8,7.2,Focus on delivery timelines,Under Review,Assessor_09
PERF005110,SUP0127,2018,4,2018-12-01,86.2,7.9,6.8,7.0,77.4,5.9,92.0,6.9,Enhance quality controls,Under Review,Assessor_19
PERF005111,SUP0127,2019,1,2019-03-01,96.4,7.8,6.9,7.5,84.4,4.8,99.9,6.7,Enhance quality controls,Under Review,Assessor_09
PERF005112,SUP0127,2019,2,2019-06-01,93.2,9.4,8.2,7.3,99.0,5.7,91.5,7.6,Focus on delivery timelines,Under Review,Assessor_18
PERF005113,SUP0127,2019,3,2019-09-01,88.3,8.3,6.5,7.5,81.2,6.1,77.6,7.1,Focus on delivery timelines,Under Review,Assessor_07
PERF005114,SUP0127,2019,4,2019-12-01,89.0,7.9,7.3,7.1,82.5,6.5,89.3,7.2,Focus on delivery timelines,Under Review,Assessor_11
PERF005115,SUP0127,2020,1,2020-03-01,87.7,7.4,6.2,7.6,67.7,6.6,79.2,7.0,Enhance quality controls,Under Review,Assessor_06
PERF005116,SUP0127,2020,2,2020-06-01,85.9,8.2,7.0,6.7,69.1,4.4,85.6,6.6,Enhance quality controls,Under Review,Assessor_19
PERF005117,SUP0127,2020,3,2020-09-01,95.0,7.1,6.0,8.7,70.7,4.4,79.2,6.6,Enhance quality controls,Under Review,Assessor_02
PERF005118,SUP0127,2020,4,2020-12-01,97.3,7.7,5.7,6.2,74.1,5.0,100.0,6.1,Enhance quality controls,Under Review,Assessor_11
PERF005119,SUP0127,2021,1,2021-03-01,96.4,8.1,7.2,7.3,84.5,4.4,91.5,6.7,Enhance quality controls,Under Review,Assessor_04
PERF005120,SUP0127,2021,2,2021-06-01,93.1,7.6,7.7,7.8,75.5,5.4,87.7,7.1,Focus on delivery timelines,Under Review,Assessor_15
PERF005121,SUP0127,2021,3,2021-09-01,87.4,8.7,7.0,7.6,93.6,7.0,100.0,7.6,Focus on delivery timelines,Under Review,Assessor_03
PERF005122,SUP0127,2021,4,2021-12-01,95.6,8.0,6.4,7.7,80.9,7.4,85.8,7.4,Focus on delivery timelines,Under Review,Assessor_19
PERF005123,SUP0127,2022,1,2022-03-01,98.3,7.7,5.6,7.4,78.8,5.2,77.6,6.5,Enhance quality controls,Under Review,Assessor_09
PERF005124,SUP0127,2022,2,2022-06-01,88.1,7.8,8.0,7.2,70.0,6.6,87.1,7.4,Focus on delivery timelines,Under Review,Assessor_03
PERF005125,SUP0127,2022,3,2022-09-01,96.3,7.5,8.4,6.7,79.9,5.6,85.4,7.1,Focus on delivery timelines,Under Review,Assessor_04
PERF005126,SUP0127,2022,4,2022-12-01,93.3,7.9,5.7,8.2,77.6,6.4,72.6,7.1,Focus on delivery timelines,Under Review,Assessor_06
PERF005127,SUP0127,2023,1,2023-03-01,87.1,8.0,8.5,8.0,83.8,6.7,100.0,7.8,Focus on delivery timelines,Under Review,Assessor_02
PERF005128,SUP0127,2023,2,2023-06-01,89.4,8.1,6.9,7.8,69.7,5.1,69.4,6.9,Enhance quality controls,Under Review,Assessor_18
PERF005129,SUP0127,2023,3,2023-09-01,88.0,8.2,7.6,7.6,83.5,3.7,90.0,6.8,Enhance quality controls,Under Review,Assessor_01
PERF005130,SUP0127,2023,4,2023-12-01,92.4,7.5,7.4,8.4,82.7,4.8,81.7,7.0,Focus on delivery timelines,Under Review,Assessor_10
PERF005131,SUP0127,2024,1,2024-03-01,93.2,8.2,7.3,7.3,88.1,4.4,94.6,6.8,Enhance quality controls,Under Review,Assessor_14
PERF005132,SUP0127,2024,2,2024-06-01,91.6,8.4,7.7,7.5,78.6,8.0,85.8,7.9,Focus on delivery timelines,Under Review,Assessor_12
PERF005133,SUP0127,2024,3,2024-09-01,88.3,7.9,7.2,6.8,95.4,6.3,77.9,7.0,Focus on delivery timelines,Under Review,Assessor_12
PERF005134,SUP0127,2024,4,2024-12-01,90.2,7.4,7.8,7.7,96.6,6.0,94.2,7.3,Focus on delivery timelines,Under Review,Assessor_11
PERF005135,SUP0127,2025,1,2025-03-01,86.1,7.5,7.8,8.8,84.2,7.4,80.3,7.9,Focus on delivery timelines,Under Review,Assessor_08
PERF005136,SUP0127,2025,2,2025-06-01,88.4,8.1,6.7,6.8,81.5,7.0,75.6,7.1,Focus on delivery timelines,Under Review,Assessor_16
PERF005137,SUP0127,2025,3,2025-09-01,97.3,8.5,7.9,7.9,69.3,4.4,98.5,7.2,Focus on delivery timelines,Under Review,Assessor_15
PERF005138,SUP0128,2010,1,2010-03-01,100.0,8.8,8.0,8.2,92.3,4.9,98.6,7.5,Focus on delivery timelines,Under Review,Assessor_03
PERF005139,SUP0128,2010,2,2010-06-01,97.9,9.0,8.8,8.5,87.6,6.9,90.4,8.3,Minor process improvements needed,Yes,Assessor_15
PERF005140,SUP0128,2010,3,2010-09-01,100.0,8.2,9.1,8.2,98.3,5.6,93.9,7.8,Focus on delivery timelines,Under Review,Assessor_02
PERF005141,SUP0128,2010,4,2010-12-01,100.0,9.0,8.5,8.2,97.3,8.0,92.4,8.4,Minor process improvements needed,Yes,Assessor_13
PERF005142,SUP0128,2011,1,2011-03-01,100.0,8.9,7.8,7.9,98.4,8.4,96.3,8.2,Minor process improvements needed,Under Review,Assessor_08
PERF005143,SUP0128,2011,2,2011-06-01,100.0,8.1,10.0,7.9,91.1,7.4,93.3,8.4,Minor process improvements needed,Under Review,Assessor_14
PERF005144,SUP0128,2011,3,2011-09-01,100.0,10.0,9.0,9.0,100.0,6.9,87.7,8.7,Minor process improvements needed,Yes,Assessor_13
PERF005145,SUP0128,2011,4,2011-12-01,96.1,9.0,9.1,8.4,91.1,7.1,86.3,8.4,Minor process improvements needed,Yes,Assessor_12
PERF005146,SUP0128,2012,1,2012-03-01,100.0,8.5,7.9,9.4,96.9,6.2,95.1,8.0,Minor process improvements needed,Yes,Assessor_08
PERF005147,SUP0128,2012,2,2012-06-01,100.0,9.2,7.9,9.1,94.2,8.3,89.5,8.6,Minor process improvements needed,Yes,Assessor_02
PERF005148,SUP0128,2012,3,2012-09-01,100.0,9.0,8.6,8.6,99.2,8.1,99.4,8.6,Minor process improvements needed,Yes,Assessor_14
PERF005149,SUP0128,2012,4,2012-12-01,98.5,9.3,8.4,8.7,100.0,7.2,95.9,8.4,Minor process improvements needed,Yes,Assessor_09
PERF005150,SUP0128,2013,1,2013-03-01,100.0,8.5,8.9,8.3,95.1,5.3,100.0,7.8,Focus on delivery timelines,Under Review,Assessor_04
PERF005151,SUP0128,2013,2,2013-06-01,100.0,9.3,7.0,8.9,96.8,4.8,86.1,7.5,Focus on delivery timelines,Under Review,Assessor_17
PERF005152,SUP0128,2013,3,2013-09-01,100.0,8.6,9.2,8.3,93.4,7.2,72.7,8.3,Minor process improvements needed,Yes,Assessor_04
PERF005153,SUP0128,2013,4,2013-12-01,100.0,8.3,7.8,9.9,85.9,7.0,84.9,8.3,Minor process improvements needed,Yes,Assessor_12
PERF005154,SUP0128,2014,1,2014-03-01,100.0,9.4,9.7,9.1,96.6,6.1,85.9,8.6,Minor process improvements needed,Yes,Assessor_01
PERF005155,SUP0128,2014,2,2014-06-01,100.0,9.0,8.8,9.1,87.1,6.3,100.0,8.3,Minor process improvements needed,Yes,Assessor_06
PERF005156,SUP0128,2014,3,2014-09-01,100.0,9.5,8.6,8.7,100.0,6.8,93.8,8.4,Minor process improvements needed,Yes,Assessor_06
PERF005157,SUP0128,2014,4,2014-12-01,100.0,8.3,9.0,8.6,100.0,8.4,90.0,8.6,Minor process improvements needed,Yes,Assessor_07
PERF005158,SUP0128,2015,1,2015-03-01,100.0,9.2,10.0,9.4,76.4,7.8,100.0,9.1,None - Excellent Performance,Yes,Assessor_15
PERF005159,SUP0128,2015,2,2015-06-01,100.0,10.0,9.0,8.7,89.9,7.6,100.0,8.8,Minor process improvements needed,Yes,Assessor_18
PERF005160,SUP0128,2015,3,2015-09-01,100.0,9.4,8.8,9.7,100.0,5.7,88.4,8.4,Minor process improvements needed,Yes,Assessor_07
PERF005161,SUP0128,2015,4,2015-12-01,100.0,8.9,9.5,8.8,89.6,6.7,99.3,8.5,Minor process improvements needed,Yes,Assessor_07
PERF005162,SUP0128,2016,1,2016-03-01,100.0,9.8,8.1,9.1,93.1,6.6,100.0,8.4,Minor process improvements needed,Yes,Assessor_05
PERF005163,SUP0128,2016,2,2016-06-01,96.8,8.7,9.0,9.4,98.9,4.3,86.9,7.8,Focus on delivery timelines,Under Review,Assessor_04
PERF005164,SUP0128,2016,3,2016-09-01,100.0,9.3,9.0,9.3,98.6,6.3,100.0,8.5,Minor process improvements needed,Yes,Assessor_04
PERF005165,SUP0128,2016,4,2016-12-01,100.0,8.9,8.4,9.0,96.7,6.1,81.5,8.1,Minor process improvements needed,Yes,Assessor_07
PERF005166,SUP0128,2017,1,2017-03-01,98.2,8.7,10.0,9.0,95.9,6.3,83.8,8.5,Minor process improvements needed,Yes,Assessor_01
PERF005167,SUP0128,2017,2,2017-06-01,100.0,9.1,8.6,7.9,100.0,8.7,100.0,8.6,Minor process improvements needed,Under Review,Assessor_17
PERF005168,SUP0128,2017,3,2017-09-01,100.0,9.4,9.3,8.8,88.3,6.3,100.0,8.4,Minor process improvements needed,Yes,Assessor_08
PERF005169,SUP0128,2017,4,2017-12-01,100.0,8.5,8.6,8.0,90.5,6.0,91.4,7.8,Focus on delivery timelines,Under Review,Assessor_06
PERF005170,SUP0128,2018,1,2018-03-01,100.0,8.4,7.4,9.0,82.2,5.0,100.0,7.4,Focus on delivery timelines,Under Review,Assessor_15
PERF005171,SUP0128,2018,2,2018-06-01,100.0,8.9,7.9,7.1,100.0,7.5,100.0,7.8,Focus on delivery timelines,Under Review,Assessor_05
PERF005172,SUP0128,2018,3,2018-09-01,100.0,9.4,9.7,9.0,100.0,5.9,79.2,8.5,Minor process improvements needed,Yes,Assessor_19
PERF005173,SUP0128,2018,4,2018-12-01,100.0,9.9,8.8,8.7,100.0,6.8,100.0,8.5,Minor process improvements needed,Yes,Assessor_18
PERF005174,SUP0128,2019,1,2019-03-01,100.0,9.8,9.4,9.5,97.0,7.4,100.0,9.0,None - Excellent Performance,Yes,Assessor_04
